Gender,Age,Married,Number of Dependents,City,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
Male,50,No,0,Costa Mesa,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0,134.6,415.45,Churned
Male,78,Yes,0,Martinez,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98,1237.85,0,361.66,1599.51,Churned
Female,23,No,3,Midpines,0,9,Offer E,Yes,16.77,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0,150.93,722.38,Stayed
Female,67,Yes,0,Lompoc,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0,707.16,8611.41,Stayed
Male,52,Yes,0,Napa,8,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,20,816.48,6214.28,Stayed
Female,68,No,0,Simi Valley,0,7,Offer E,Yes,10.53,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0,73.71,414.06,Stayed
Female,32,No,0,La Mesa,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0,162,7423.25,Stayed
Female,58,Yes,2,Woodlake,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0,1935.46,8784.86,Stayed
Female,72,No,0,San Marcos,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0,7.77,79.87,Joined
Female,30,Yes,2,Alpaugh,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,802.93,2652.88,Stayed
Male,23,Yes,3,Moss Beach,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0,1591.37,4838.92,Stayed
Female,37,Yes,0,Stockton,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0,279.4,5239,Stayed
Female,60,Yes,0,Los Angeles,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0,967.01,6564.66,Stayed
Male,60,Yes,3,Yermo,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,682.02,2611.02,Stayed
Female,20,No,0,Fremont,0,27,Offer C,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0,1320.57,3399.52,Stayed
Female,38,No,0,El Portal,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,0,1274.7,4806.7,Stayed
Male,54,No,0,Calistoga,0,1,Offer E,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0,42.95,87.25,Joined
Female,78,No,1,North Hollywood,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,120,127.49,1367.79,Churned
